epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
1,2.082955092191696,10.181980580091476,2.5268856436014175,7.4164316058158875,11.40056699514389,92.23943948745728,2.069585956633091,4.08613346517086,17.57379859685898,3.9157405123114586,13.410896062850952,17.620618641376495
2,1.7358561977744102,9.653476104140282,2.251183558255434,6.356155127286911,10.839451104402542,92.56643652915955,1.9807258620858192,3.761030361056328,17.08502635359764,3.5964956134557724,10.950600355863571,17.22530871629715
3,1.6121545806527138,9.350695610046387,2.0918425731360912,5.53317554295063,10.626248270273209,92.84839630126953,2.0165275782346725,3.630322217941284,16.894271671772003,3.355071321129799,9.06398594379425,17.079760134220123
4,1.5483159571886063,9.123745858669281,1.9246609881520271,5.127405747771263,10.510198771953583,92.65281558036804,1.8776105716824532,3.566007688641548,16.772538274526596,3.1934595108032227,8.41757208108902,17.023752629756927
5,1.5468565747141838,9.16863463819027,1.820562444627285,4.983341321349144,10.430123656988144,92.6211416721344,1.8202997744083405,3.5351477563381195,16.66994109749794,2.9892589151859283,8.310504257678986,16.985483467578888
6,1.4901784248650074,8.954354301095009,1.677995827049017,4.9467407166957855,10.38120985031128,93.00929307937622,1.9554046913981438,3.511940687894821,16.59975439310074,2.8674286231398582,8.219408988952637,16.958855092525482
7,1.4642873778939247,8.950242474675179,1.6046057268977165,4.818893224000931,10.350793600082397,92.90429949760437,1.8804356455802917,3.4917082637548447,16.550142914056778,2.808909360319376,8.19137692451477,16.932545602321625
8,1.464291475713253,8.850882053375244,1.5736247040331364,4.7527555376291275,10.321322828531265,92.8290069103241,1.8292775377631187,3.4733492881059647,16.541604101657867,2.7591270580887794,8.097101747989655,16.908185184001923
9,1.4668570831418037,8.75289760529995,1.5344515442848206,4.792075976729393,10.288085043430328,92.99086928367615,1.88711266964674,3.4646719694137573,16.498857736587524,2.7271323278546333,8.053454756736755,16.8977290391922
10,1.412161998450756,8.691324144601822,1.5262359380722046,4.684658721089363,10.279016941785812,92.96456575393677,1.8606152385473251,3.4484799951314926,16.447091102600098,2.695624250918627,8.020897954702377,16.87854826450348
11,1.3972925953567028,8.837507888674736,1.600988432765007,4.7290220856666565,10.246138274669647,92.84055829048157,1.8033124506473541,3.4460842609405518,16.435070782899857,2.699828613549471,7.990160584449768,16.88091903924942
12,1.3881305232644081,8.655549511313438,1.514678131788969,4.683789610862732,10.257801413536072,92.95936822891235,1.8547732383012772,3.438333421945572,16.41499176621437,2.6612576097249985,7.993067800998688,16.865256428718567
13,1.3812690041959286,8.657096475362778,1.4589523896574974,4.596646875143051,10.21874025464058,92.87991523742676,1.8316615372896194,3.429587557911873,16.391378939151764,2.6398877799510956,7.936353236436844,16.849716007709503
14,1.3737019151449203,8.594327419996262,1.4507349394261837,4.614140093326569,10.22808700799942,92.60824918746948,1.7249075695872307,3.424757346510887,16.39487385749817,2.6368469931185246,7.912079244852066,16.834862530231476
15,1.356113888323307,8.632902950048447,1.4547414891421795,4.552832618355751,10.19536480307579,92.43372082710266,1.6506414860486984,3.4199032932519913,16.406318843364716,2.6325863040983677,7.893741875886917,16.827334463596344
16,1.3575373217463493,8.561495169997215,1.412755362689495,4.540960863232613,10.185819119215012,92.87221431732178,1.8121397122740746,3.4157317131757736,16.3370481133461,2.5984610617160797,7.8699178993701935,16.817300021648407
17,1.375018060207367,8.50262738764286,1.4056108798831701,4.513963684439659,10.162504762411118,93.06851029396057,1.8797291442751884,3.4174345433712006,16.341855973005295,2.5841494649648666,7.85318985581398,16.813769936561584
18,1.3451549224555492,8.552735075354576,1.401249524205923,4.5269254595041275,10.165241360664368,93.07737350463867,1.9054504111409187,3.4095346927642822,16.314813941717148,2.5755244866013527,7.836057245731354,16.796685755252838
