epoch,K_mae,Phi_mae,Theta_mae,P_mae,T_mae,TPR_mae,FPR_mae,K_std,Phi_std,Theta_std,P_std,T_std
43,0.830659829,5.229335614,0.912569147,3.296263888,6.87751919,97.64410257,0.56897169,2.305983007,10.79671875,1.840939019,5.843892321,12.01820374
44,0.831345376,5.211303793,0.927104456,3.287499398,6.876798719,97.7479279,0.626521418,2.302399278,10.79492837,1.843099706,5.839477107,12.02358007
45,0.835938286,5.253750756,0.938868541,3.296269849,6.867167354,97.6762414,0.581086008,2.300770208,10.78253321,1.840279028,5.833222717,12.01106161
46,0.838497747,5.190741308,0.936384313,3.304187581,6.855792552,97.76698351,0.620235922,2.294605225,10.77665247,1.842712797,5.828771368,12.0042555
47,0.818171166,5.192928985,0.906846821,3.269756958,6.890275329,97.60887027,0.537101459,2.289404348,10.76392137,1.830651741,5.820132792,11.99935675
48,0.833767653,5.181419291,0.916344943,3.27402465,6.844703853,97.39235044,0.460379152,2.288623713,10.74939318,1.830229126,5.810837448,11.98577583
49,0.8203445,5.200819038,0.895800898,3.29855755,6.901168823,97.61328101,0.533037167,2.2826178,10.73779933,1.823199727,5.816201121,11.98751032
50,0.813772622,5.15911404,0.889270473,3.324439377,6.830940396,98.46580625,0.545635959,2.281216346,10.73352188,1.820944324,5.804496631,11.9795315
51,0.811046269,5.157596916,0.91482765,3.317787498,6.826305389,97.70626426,0.57407408,2.276009135,10.72505213,1.82286948,5.811202899,11.97367534
52,0.847028103,5.15404366,0.891299564,3.26558724,6.830236316,98.66343737,0.629593339,2.284922637,10.71491271,1.817037519,5.795054138,11.97255179
53,0.824745651,5.163616799,0.925300336,3.275348991,6.841099262,97.64456153,0.532187847,2.273319475,10.7049302,1.816657484,5.783307552,11.96216643
54,0.80504315,5.168040097,0.884270249,3.282235563,6.811892986,98.47079515,0.527940597,2.269771695,10.70600979,1.812282801,5.786344409,11.96489185
55,0.802759174,5.123843662,0.904104346,3.244252503,6.808394939,98.5697329,0.564324902,2.266398259,10.6864424,1.808739938,5.783599615,11.9587779
56,0.800604094,5.150710009,0.888730846,3.25569883,6.813102216,97.60448933,0.506893545,2.263986133,10.69546737,1.812565103,5.774037167,11.95124611
57,0.797080807,5.110264644,0.875454918,3.265208751,6.823124737,98.60290885,0.576211419,2.262178808,10.68224609,1.807222646,5.782404542,11.94879115
